rnmV	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic
ksgA	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
ksgA	GO:0003723	RNA binding
ksgA	GO:0005737	cytoplasm
ksgA	GO:0006364	rRNA processing
ksgA	GO:0008168	methyltransferase activity
ksgA	GO:0016433	rRNA (adenine) methyltransferase activity
ksgA	GO:0016740	transferase activity
ksgA	GO:0031167	rRNA methylation
ksgA	GO:0032259	methylation
ksgA	GO:0052908	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity
yabG	GO:0008152	metabolic process
yabG	GO:0016020	membrane
yabG	GO:0016787	hydrolase activity
yabG	GO:0030435	sporulation resulting in formation of a cellular spore
yabG	GO:0043593	endospore coat
veg	GO:0005737	cytoplasm
veg	GO:0030435	sporulation resulting in formation of a cellular spore
sspF	GO:0003677	DNA binding
sspF	GO:0003690	double-stranded DNA binding
sspF	GO:0006265	DNA topological change
sspF	GO:0030435	sporulation resulting in formation of a cellular spore
ispE	GO:0000166	nucleotide binding
ispE	GO:0005524	ATP binding
ispE	GO:0008299	isoprenoid biosynthetic process
ispE	GO:0016114	terpenoid biosynthetic process
ispE	GO:0016301	kinase activity
ispE	GO:0016310	phosphorylation
ispE	GO:0016740	transferase activity
ispE	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
ispE	GO:0050515	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity
purR	GO:0003677	DNA binding
purR	GO:0006351	transcription, DNA-templated
purR	GO:0006355	regulation of transcription, DNA-templated
purR	GO:0009116	nucleoside metabolic process
purR	GO:0045892	negative regulation of transcription, DNA-templated
purR	GO:0045982	negative regulation of purine nucleobase metabolic process
yabJ	GO:0005737	cytoplasm
yabJ	GO:0008652	cellular amino acid biosynthetic process
yabJ	GO:0009082	branched-chain amino acid biosynthetic process
yabJ	GO:0009097	isoleucine biosynthetic process
yabJ	GO:0009636	response to toxic substance
yabJ	GO:0016787	hydrolase activity
yabJ	GO:0019239	deaminase activity
yabJ	GO:0046360	2-oxobutyrate biosynthetic process
spoVG	GO:0000917	division septum assembly
spoVG	GO:0007049	cell cycle
spoVG	GO:0030435	sporulation resulting in formation of a cellular spore
spoVG	GO:0030436	asexual sporulation
spoVG	GO:0051301	cell division
gcaD	GO:0000287	magnesium ion binding
gcaD	GO:0000902	cell morphogenesis
gcaD	GO:0003824	catalytic activity
gcaD	GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity
gcaD	GO:0005737	cytoplasm
gcaD	GO:0006048	UDP-N-acetylglucosamine biosynthetic process
gcaD	GO:0008152	metabolic process
gcaD	GO:0008360	regulation of cell shape
gcaD	GO:0009058	biosynthetic process
gcaD	GO:0009103	lipopolysaccharide biosynthetic process
gcaD	GO:0009245	lipid A biosynthetic process
gcaD	GO:0009252	peptidoglycan biosynthetic process
gcaD	GO:0016740	transferase activity
gcaD	GO:0016746	transferase activity, transferring acyl groups
gcaD	GO:0016779	nucleotidyltransferase activity
gcaD	GO:0019134	glucosamine-1-phosphate N-acetyltransferase activity
gcaD	GO:0046872	metal ion binding
prs	GO:0000166	nucleotide binding
prs	GO:0000287	magnesium ion binding
prs	GO:0004749	ribose phosphate diphosphokinase activity
prs	GO:0005524	ATP binding
prs	GO:0005737	cytoplasm
prs	GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process
prs	GO:0009156	ribonucleoside monophosphate biosynthetic process
prs	GO:0009165	nucleotide biosynthetic process
prs	GO:0016301	kinase activity
prs	GO:0016310	phosphorylation
prs	GO:0016740	transferase activity
prs	GO:0046872	metal ion binding
ctc	GO:0000303	response to superoxide
ctc	GO:0003723	RNA binding
ctc	GO:0003735	structural constituent of ribosome
ctc	GO:0005840	ribosome
ctc	GO:0006412	translation
ctc	GO:0006950	response to stress
ctc	GO:0008097	5S rRNA binding
ctc	GO:0019843	rRNA binding
ctc	GO:0030529	NA
spoVC	GO:0004045	aminoacyl-tRNA hydrolase activity
spoVC	GO:0005737	cytoplasm
spoVC	GO:0008152	metabolic process
spoVC	GO:0016787	hydrolase activity
spoVC	GO:0030435	sporulation resulting in formation of a cellular spore
mfd	GO:0000166	nucleotide binding
mfd	GO:0000716	transcription-coupled nucleotide-excision repair, DNA damage recognition
mfd	GO:0003676	nucleic acid binding
mfd	GO:0003677	DNA binding
mfd	GO:0003684	damaged DNA binding
mfd	GO:0004386	helicase activity
mfd	GO:0005524	ATP binding
mfd	GO:0005737	cytoplasm
mfd	GO:0006281	DNA repair
mfd	GO:0006355	regulation of transcription, DNA-templated
mfd	GO:0006974	cellular response to DNA damage stimulus
mfd	GO:0008026	ATP-dependent helicase activity
mfd	GO:0016787	hydrolase activity
spoVT	GO:0003677	DNA binding
spoVT	GO:0006351	transcription, DNA-templated
spoVT	GO:0006355	regulation of transcription, DNA-templated
spoVT	GO:0030435	sporulation resulting in formation of a cellular spore
yabM	GO:0000271	polysaccharide biosynthetic process
yabM	GO:0005886	plasma membrane
yabM	GO:0016020	membrane
yabM	GO:0016021	integral component of membrane
yabN	GO:0008168	methyltransferase activity
yabN	GO:0032259	methylation
yabO	GO:0003723	RNA binding
yabP	GO:0005628	prospore membrane
yabP	GO:0016020	membrane
yabP	GO:0030435	sporulation resulting in formation of a cellular spore
yabQ	GO:0005628	prospore membrane
yabQ	GO:0016020	membrane
yabQ	GO:0016021	integral component of membrane
yabQ	GO:0030435	sporulation resulting in formation of a cellular spore
divIC	GO:0005515	protein binding
divIC	GO:0007049	cell cycle
yabR	GO:0003723	RNA binding
spoIIE	GO:0003824	catalytic activity
spoIIE	GO:0004721	phosphoprotein phosphatase activity
spoIIE	GO:0004722	protein serine/threonine phosphatase activity
spoIIE	GO:0005515	protein binding
spoIIE	GO:0005628	prospore membrane
spoIIE	GO:0005886	plasma membrane
spoIIE	GO:0008152	metabolic process
spoIIE	GO:0016020	membrane
spoIIE	GO:0016021	integral component of membrane
spoIIE	GO:0016311	dephosphorylation
spoIIE	GO:0016787	hydrolase activity
spoIIE	GO:0030435	sporulation resulting in formation of a cellular spore
spoIIE	GO:0070262	peptidyl-serine dephosphorylation
yabT	GO:0000166	nucleotide binding
yabT	GO:0004672	protein kinase activity
yabT	GO:0004674	protein serine/threonine kinase activity
yabT	GO:0005524	ATP binding
yabT	GO:0006468	protein phosphorylation
yabT	GO:0016301	kinase activity
yabT	GO:0016310	phosphorylation
yabT	GO:0016740	transferase activity
yabT	GO:0016772	transferase activity, transferring phosphorus-containing groups
yabT	GO:0030428	cell septum
yabT	GO:0036290	protein trans-autophosphorylation
yabT	GO:0042601	endospore-forming forespore
tilS	GO:0000166	nucleotide binding
tilS	GO:0005524	ATP binding
tilS	GO:0005737	cytoplasm
tilS	GO:0006400	tRNA modification
tilS	GO:0008033	tRNA processing
tilS	GO:0016874	ligase activity
tilS	GO:0016879	ligase activity, forming carbon-nitrogen bonds
hprT	GO:0000166	nucleotide binding
hprT	GO:0000287	magnesium ion binding
hprT	GO:0004422	hypoxanthine phosphoribosyltransferase activity
hprT	GO:0005737	cytoplasm
hprT	GO:0005829	cytosol
hprT	GO:0006166	purine ribonucleoside salvage
hprT	GO:0006168	adenine salvage
hprT	GO:0006178	guanine salvage
hprT	GO:0009116	nucleoside metabolic process
hprT	GO:0016740	transferase activity
hprT	GO:0016757	transferase activity, transferring glycosyl groups
hprT	GO:0032263	GMP salvage
hprT	GO:0032264	IMP salvage
hprT	GO:0046100	hypoxanthine metabolic process
hprT	GO:0046872	metal ion binding
hprT	GO:0052657	guanine phosphoribosyltransferase activity
ftsH	GO:0000166	nucleotide binding
ftsH	GO:0004222	metalloendopeptidase activity
ftsH	GO:0005524	ATP binding
ftsH	GO:0005886	plasma membrane
ftsH	GO:0006508	proteolysis
ftsH	GO:0006950	response to stress
ftsH	GO:0007049	cell cycle
ftsH	GO:0008233	peptidase activity
ftsH	GO:0008237	metallopeptidase activity
ftsH	GO:0008270	zinc ion binding
ftsH	GO:0016020	membrane
ftsH	GO:0016021	integral component of membrane
ftsH	GO:0016787	hydrolase activity
ftsH	GO:0016887	ATPase activity
ftsH	GO:0017111	nucleoside-triphosphatase activity
ftsH	GO:0030163	protein catabolic process
ftsH	GO:0030428	cell septum
ftsH	GO:0043934	sporulation
ftsH	GO:0046872	metal ion binding
ftsH	GO:0051301	cell division
coaX	GO:0000166	nucleotide binding
coaX	GO:0004594	pantothenate kinase activity
coaX	GO:0005524	ATP binding
coaX	GO:0005737	cytoplasm
coaX	GO:0015937	coenzyme A biosynthetic process
coaX	GO:0016301	kinase activity
coaX	GO:0016310	phosphorylation
coaX	GO:0016740	transferase activity
coaX	GO:0043169	cation binding
coaX	GO:0046872	metal ion binding
yacC	GO:0005737	cytoplasm
yacC	GO:0006457	protein folding
yacC	GO:0051082	unfolded protein binding
yacD	GO:0000413	protein peptidyl-prolyl isomerization
yacD	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
yacD	GO:0006457	protein folding
yacD	GO:0016853	isomerase activity
cysK	GO:0004124	cysteine synthase activity
cysK	GO:0006535	cysteine biosynthetic process from serine
cysK	GO:0008652	cellular amino acid biosynthetic process
cysK	GO:0016740	transferase activity
cysK	GO:0019344	cysteine biosynthetic process
pabB	GO:0000287	magnesium ion binding
pabB	GO:0009058	biosynthetic process
pabB	GO:0016740	transferase activity
pabB	GO:0016833	oxo-acid-lyase activity
pabB	GO:0046654	tetrahydrofolate biosynthetic process
pabB	GO:0046656	folic acid biosynthetic process
pabB	GO:0046820	4-amino-4-deoxychorismate synthase activity
pabA	GO:0000162	tryptophan biosynthetic process
pabA	GO:0004049	anthranilate synthase activity
pabA	GO:0006541	glutamine metabolic process
pabA	GO:0008152	metabolic process
pabA	GO:0008652	cellular amino acid biosynthetic process
pabA	GO:0009073	aromatic amino acid family biosynthetic process
pabA	GO:0016740	transferase activity
pabA	GO:0016829	lyase activity
pabA	GO:0046654	tetrahydrofolate biosynthetic process
pabA	GO:0046656	folic acid biosynthetic process
pabA	GO:0046820	4-amino-4-deoxychorismate synthase activity
pabC	GO:0003824	catalytic activity
pabC	GO:0008152	metabolic process
pabC	GO:0008696	4-amino-4-deoxychorismate lyase activity
pabC	GO:0016829	lyase activity
pabC	GO:0046654	tetrahydrofolate biosynthetic process
pabC	GO:0046656	folic acid biosynthetic process
sul	GO:0004156	dihydropteroate synthase activity
sul	GO:0009396	folic acid-containing compound biosynthetic process
sul	GO:0016740	transferase activity
sul	GO:0042558	pteridine-containing compound metabolic process
sul	GO:0044237	cellular metabolic process
sul	GO:0046654	tetrahydrofolate biosynthetic process
sul	GO:0046656	folic acid biosynthetic process
sul	GO:0046677	response to antibiotic
sul	GO:0046872	metal ion binding
folB	GO:0004150	dihydroneopterin aldolase activity
folB	GO:0006760	folic acid-containing compound metabolic process
folB	GO:0016829	lyase activity
folB	GO:0046654	tetrahydrofolate biosynthetic process
folB	GO:0046656	folic acid biosynthetic process
folK	GO:0000166	nucleotide binding
folK	GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
folK	GO:0005524	ATP binding
folK	GO:0009396	folic acid-containing compound biosynthetic process
folK	GO:0016301	kinase activity
folK	GO:0016310	phosphorylation
folK	GO:0016740	transferase activity
folK	GO:0046654	tetrahydrofolate biosynthetic process
folK	GO:0046656	folic acid biosynthetic process
yazB	GO:0003677	DNA binding
yazB	GO:0006351	transcription, DNA-templated
yazB	GO:0006355	regulation of transcription, DNA-templated
yazB	GO:0043565	sequence-specific DNA binding
yacF	GO:0002943	tRNA dihydrouridine synthesis
yacF	GO:0003824	catalytic activity
yacF	GO:0008033	tRNA processing
yacF	GO:0016491	oxidoreductase activity
yacF	GO:0017150	tRNA dihydrouridine synthase activity
yacF	GO:0050660	flavin adenine dinucleotide binding
yacF	GO:0055114	oxidation-reduction process
lysS	GO:0000166	nucleotide binding
lysS	GO:0000287	magnesium ion binding
lysS	GO:0003676	nucleic acid binding
lysS	GO:0004812	aminoacyl-tRNA ligase activity
lysS	GO:0004824	lysine-tRNA ligase activity
lysS	GO:0005524	ATP binding
lysS	GO:0005737	cytoplasm
lysS	GO:0006412	translation
lysS	GO:0006418	tRNA aminoacylation for protein translation
lysS	GO:0006430	lysyl-tRNA aminoacylation
lysS	GO:0016874	ligase activity
lysS	GO:0046872	metal ion binding
ctsR	GO:0003677	DNA binding
ctsR	GO:0006351	transcription, DNA-templated
ctsR	GO:0006355	regulation of transcription, DNA-templated
ctsR	GO:0006950	response to stress
mcsB	GO:0000166	nucleotide binding
mcsB	GO:0003824	catalytic activity
mcsB	GO:0005524	ATP binding
mcsB	GO:0016301	kinase activity
mcsB	GO:0016310	phosphorylation
mcsB	GO:0016740	transferase activity
mcsB	GO:0016775	phosphotransferase activity, nitrogenous group as acceptor
mcsB	GO:0018109	peptidyl-arginine phosphorylation
mcsB	GO:1990424	protein arginine kinase activity
clpC	GO:0000166	nucleotide binding
clpC	GO:0005515	protein binding
clpC	GO:0005524	ATP binding
clpC	GO:0006351	transcription, DNA-templated
clpC	GO:0006355	regulation of transcription, DNA-templated
clpC	GO:0017111	nucleoside-triphosphatase activity
clpC	GO:0019538	protein metabolic process
clpC	GO:0030420	establishment of competence for transformation
radA	GO:0000166	nucleotide binding
radA	GO:0003677	DNA binding
radA	GO:0003684	damaged DNA binding
radA	GO:0005524	ATP binding
radA	GO:0006259	DNA metabolic process
radA	GO:0006281	DNA repair
radA	GO:0006974	cellular response to DNA damage stimulus
radA	GO:0008094	DNA-dependent ATPase activity
radA	GO:0017111	nucleoside-triphosphatase activity
radA	GO:0046872	metal ion binding
disA	GO:0000166	nucleotide binding
disA	GO:0003677	DNA binding
disA	GO:0003684	damaged DNA binding
disA	GO:0005524	ATP binding
disA	GO:0006281	DNA repair
disA	GO:0006974	cellular response to DNA damage stimulus
disA	GO:0016740	transferase activity
disA	GO:0016779	nucleotidyltransferase activity
disA	GO:0019932	second-messenger-mediated signaling
disA	GO:0072421	detection of DNA damage stimulus involved in DNA damage checkpoint
yacL	GO:0004518	nuclease activity
yacL	GO:0008152	metabolic process
yacL	GO:0016787	hydrolase activity
yacL	GO:0046872	metal ion binding
yacL	GO:0090305	nucleic acid phosphodiester bond hydrolysis
ispD	GO:0003824	catalytic activity
ispD	GO:0008299	isoprenoid biosynthetic process
ispD	GO:0016114	terpenoid biosynthetic process
ispD	GO:0016740	transferase activity
ispD	GO:0016779	nucleotidyltransferase activity
ispD	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
ispD	GO:0050518	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity
ispF	GO:0008299	isoprenoid biosynthetic process
ispF	GO:0008685	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
ispF	GO:0016114	terpenoid biosynthetic process
ispF	GO:0016829	lyase activity
ispF	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
ispF	GO:0046872	metal ion binding
gltX	GO:0000049	tRNA binding
gltX	GO:0000166	nucleotide binding
gltX	GO:0004812	aminoacyl-tRNA ligase activity
gltX	GO:0004818	glutamate-tRNA ligase activity
gltX	GO:0005524	ATP binding
gltX	GO:0005737	cytoplasm
gltX	GO:0006412	translation
gltX	GO:0006418	tRNA aminoacylation for protein translation
gltX	GO:0006424	glutamyl-tRNA aminoacylation
gltX	GO:0016874	ligase activity
gltX	GO:0016876	NA
gltX	GO:0043039	tRNA aminoacylation
gltX	GO:0046872	metal ion binding
cysE	GO:0005737	cytoplasm
cysE	GO:0006535	cysteine biosynthetic process from serine
cysE	GO:0008652	cellular amino acid biosynthetic process
cysE	GO:0009001	serine O-acetyltransferase activity
cysE	GO:0016740	transferase activity
cysE	GO:0016746	transferase activity, transferring acyl groups
cysE	GO:0019344	cysteine biosynthetic process
cysS	GO:0000166	nucleotide binding
cysS	GO:0004812	aminoacyl-tRNA ligase activity
cysS	GO:0004817	cysteine-tRNA ligase activity
cysS	GO:0005524	ATP binding
cysS	GO:0005737	cytoplasm
cysS	GO:0005829	cytosol
cysS	GO:0006412	translation
cysS	GO:0006418	tRNA aminoacylation for protein translation
cysS	GO:0006423	cysteinyl-tRNA aminoacylation
cysS	GO:0008270	zinc ion binding
cysS	GO:0016874	ligase activity
cysS	GO:0046872	metal ion binding
mrnC	GO:0003723	RNA binding
mrnC	GO:0004518	nuclease activity
mrnC	GO:0004519	endonuclease activity
mrnC	GO:0004525	ribonuclease III activity
mrnC	GO:0004540	ribonuclease activity
mrnC	GO:0005737	cytoplasm
mrnC	GO:0006364	rRNA processing
mrnC	GO:0006396	RNA processing
mrnC	GO:0016787	hydrolase activity
mrnC	GO:0019843	rRNA binding
mrnC	GO:0042254	ribosome biogenesis
mrnC	GO:0090305	nucleic acid phosphodiester bond hydrolysis
mrnC	GO:0090501	RNA phosphodiester bond hydrolysis
mrnC	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic
yacO	GO:0001510	RNA methylation
yacO	GO:0003723	RNA binding
yacO	GO:0006396	RNA processing
yacO	GO:0008168	methyltransferase activity
yacO	GO:0008173	RNA methyltransferase activity
yacO	GO:0016740	transferase activity
yacO	GO:0032259	methylation
sigH	GO:0003677	DNA binding
sigH	GO:0003700	DNA-binding transcription factor activity
sigH	GO:0006351	transcription, DNA-templated
sigH	GO:0006352	DNA-templated transcription, initiation
sigH	GO:0006355	regulation of transcription, DNA-templated
sigH	GO:0016987	sigma factor activity
sigH	GO:0030435	sporulation resulting in formation of a cellular spore
